userId,bookId,rating
1,2767052,5.0
1,1711500,5.0
1,639787,3.0
1,862267,5.0
1,1031363,5.0
1,899488,5.0
1,1022568,5.0
1,1179967,5.0
1,3074284,3.0
1,870741,5.0
1,885843,4.0
1,617373,2.0
1,2251306,4.0
1,1183379,3.0
1,2157743,5.0
1,1820790,4.0
1,3217210,5.0
1,3124744,5.0
1,1187138,4.0
1,3228917,4.0
1,2891804,5.0
1,2548559,3.0
1,653147,3.0
1,1587711,4.0
1,873537,4.0
1,2267772,5.0
1,1969280,5.0
1,680938,5.0
1,1495254,5.0
1,2118114,4.0
1,2054761,5.0
2,2767052,4.0
2,862267,5.0
2,680938,5.0
2,1187138,4.0
2,3074284,4.0
2,981161,4.0
5,843126,5.0
5,2852969,3.0
5,614959,4.0
5,2038033,4.0
5,871919,5.0
5,618259,3.0
5,1020312,4.0
5,680938,5.0
5,2365897,3.0
5,4101648,4.0
5,808853,5.0
5,774600,5.0
5,685973,5.0
5,1495254,5.0
5,1022568,5.0
5,2330730,4.0
5,773507,5.0
5,1383701,5.0
5,824204,5.0
5,1470493,3.0
5,906543,4.0
5,752875,3.0
5,1589254,5.0
5,3228917,4.0
5,678974,5.0
5,854253,4.0
5,776984,4.0
5,3124744,4.0
5,3217210,5.0
5,776407,3.0
5,897867,2.0
5,688906,5.0
5,674749,5.0
5,817791,4.0
5,1191522,4.0
5,1608725,4.0
5,613283,4.0
5,812769,5.0
5,2302797,5.0
5,1031363,5.0
5,764637,3.0
5,774544,5.0
5,828503,5.0
5,639787,3.0
5,763167,5.0
5,2767052,3.0
5,615570,5.0
5,862267,4.0
5,2238280,3.0
6,3591262,4.0
6,829959,5.0
6,1495254,4.0
6,826300,3.0
7,873537,3.0
7,2120783,5.0
7,2767052,4.0
7,1154167,5.0
7,1495254,5.0
8,2451840,3.0
8,2146957,4.0
8,3254246,3.0
8,1711500,5.0
8,2767052,5.0
8,1379961,4.0
8,614959,3.0
8,784916,4.0
8,2852969,5.0
8,1691582,4.0
8,2728527,5.0
8,2330730,3.0
8,862267,5.0
8,2068667,3.0
8,2686103,4.0
8,2161733,4.0
8,618259,3.0
8,2776527,3.0
8,828387,5.0
8,4374400,3.0
8,1039461,4.0
8,817791,5.0
9,873537,4.0
9,3228917,5.0
9,2527900,4.0
9,680938,5.0
9,2457487,2.0
9,3180338,5.0
9,4722934,5.0
9,2157743,5.0
12,800012,5.0
12,2476034,3.0
12,862267,3.0
12,2267772,5.0
12,3217210,3.0
12,3180338,4.0
14,653945,4.0
14,1589254,5.0
14,1954203,4.0
14,2141948,5.0
14,826338,3.0
15,1080004,5.0
15,812769,5.0
15,3217210,4.0
15,3254246,3.0
15,2475185,3.0
15,614959,3.0
15,983195,5.0
15,3180338,4.0
15,2082562,4.0
16,823528,4.0
18,826097,5.0
18,3217210,5.0
18,847992,3.0
18,1187138,4.0
18,826338,5.0
18,3180338,4.0
18,2626281,3.0
18,3228917,3.0
18,653147,3.0
18,2767052,4.0
18,1179967,4.0
18,2578863,3.0
18,873537,4.0
18,829507,5.0
18,2267772,3.0
21,3093361,5.0
21,3228917,4.0
21,741612,5.0
21,685448,5.0
21,870741,5.0
21,3396933,3.0
26,759945,4.0
26,773038,3.0
26,2548559,4.0
26,862267,4.0
26,1593813,4.0
31,2642151,4.0
31,3171606,4.0
31,2451840,5.0
31,2767052,3.0
31,826338,4.0
31,745608,5.0
31,4078927,5.0
31,3254246,5.0
31,2686103,4.0
34,2293666,5.0
34,1183379,5.0
35,795921,5.0
35,835623,5.0
35,1124499,5.0
35,862267,4.0
35,2267772,3.0
35,2019298,3.0
40,2267772,3.0
40,873537,5.0
40,827183,3.0
43,680938,5.0
43,2267772,5.0
47,3217210,5.0
47,2153405,4.0
47,3591262,5.0
47,3257136,3.0
47,3124744,4.0
47,4285768,4.0
47,3121307,4.0
47,2451840,4.0
47,1608725,5.0
47,1330645,4.0
47,3018307,4.0
47,2052892,4.0
47,3367956,4.0
47,1495254,5.0
47,721698,4.0
47,862267,2.0
47,843126,5.0
47,2273751,4.0
50,1954203,4.0
50,678974,3.0
50,1154167,4.0
50,680938,4.0
50,614959,2.0
50,2753504,5.0
50,4073199,4.0
50,2451840,5.0
51,2267772,4.0
51,2302797,5.0
53,2330730,3.0
53,3217210,5.0
53,854790,4.0
53,1954203,5.0
53,1307582,5.0
53,3124744,3.0
53,873537,3.0
53,2118114,4.0
53,2358737,4.0
53,3228917,5.0
55,2157743,5.0
55,807047,3.0
55,1102243,2.0
55,886955,4.0
55,2890090,4.0
55,817791,5.0
55,1187138,3.0
55,1128253,5.0
55,745608,5.0
55,2120783,5.0
55,902715,4.0
55,4573498,3.0
55,829507,5.0
55,4371507,2.0
55,2358737,2.0
55,2082562,3.0
55,2451840,5.0
55,843126,3.0
55,618259,3.0
55,3228917,4.0
55,1215032,5.0
55,944288,4.0
55,3245249,5.0
55,2714607,2.0
55,2527900,3.0
55,1711500,5.0
55,1179967,5.0
55,944076,4.0
55,2495561,5.0
55,2767052,5.0
56,2267772,3.0
56,3254246,4.0
56,2082562,3.0
56,3398625,5.0
56,954674,4.0
56,4711854,4.0
56,3228917,4.0
56,818109,4.0
56,1183379,4.0
56,1820790,4.0
57,2157743,5.0
59,2267772,5.0
59,680938,4.0
62,862267,4.0
63,829959,4.0
63,2728527,5.0
63,3229372,4.0
63,2638810,4.0
63,2767052,4.0
63,826300,3.0
63,1983168,4.0
63,604025,4.0
63,3690187,3.0
63,764637,4.0
63,2319322,3.0
63,2832909,4.0
64,1120641,4.0
64,604025,4.0
66,1954203,4.0
66,870741,4.0
66,955975,4.0
66,680938,4.0
66,3217210,4.0
66,1183379,3.0
66,2267772,4.0
70,3180338,5.0
72,2267772,3.0
72,763798,3.0
73,989030,3.0
73,618259,3.0
73,1495254,2.0
73,1383701,3.0
73,644171,4.0
73,2280874,3.0
73,884288,5.0
73,2280873,3.0
73,4054590,4.0
73,1151315,4.0
73,826338,4.0
73,823528,3.0
73,1802397,4.0
73,3124744,5.0
73,673656,4.0
73,2457487,4.0
73,624980,2.0
73,3396933,4.0
73,983195,4.0
73,618221,4.0
73,995103,5.0
73,859230,4.0
73,926908,5.0
73,614959,5.0
73,1031363,2.0
73,947419,3.0
73,3398625,4.0
73,678974,3.0
73,1162506,5.0
73,3188404,4.0
73,1127996,5.0
73,2767052,4.0
73,1406395,4.0
74,2767052,4.0
77,926908,4.0
77,983195,5.0
77,2293666,4.0
77,4054590,4.0
89,2267772,5.0
90,780581,4.0
91,829959,3.0
91,2686103,3.0
91,2967752,4.0
91,870741,5.0
91,1954203,4.0
91,2238280,3.0
91,812769,4.0
91,2157743,4.0
91,4666400,4.0
91,2891804,4.0
91,2451840,2.0
91,618259,3.0
91,680938,5.0
91,4078927,4.0
91,826300,3.0
91,1379961,4.0
91,1495254,3.0
91,678974,3.0
91,4633087,3.0
91,1154167,4.0
91,1711500,3.0
91,3217210,5.0
91,2852969,4.0
91,2267772,3.0
91,3115956,4.0
91,1039461,3.0
91,3074284,3.0
96,826338,4.0
96,3228917,1.0
97,614959,5.0
97,862267,5.0
97,870741,5.0
99,1589254,4.0
99,3106441,3.0
99,1820790,3.0
99,3217210,4.0
100,2852969,3.0
100,3217210,5.0
100,3228917,5.0
100,862267,5.0
100,1183379,5.0
100,769016,5.0
100,641604,4.0
100,1589254,4.0
100,873537,5.0
103,603204,5.0
103,1802397,4.0
103,978904,5.0
103,862267,4.0
103,1963638,5.0
103,2785070,4.0
103,618259,5.0
103,607639,5.0
103,2767052,4.0
103,3217210,4.0
103,2967752,2.0
103,873537,4.0
103,816722,4.0
103,1711500,4.0
103,1383701,4.0
105,983195,5.0
106,3362016,3.0
106,3115359,2.0
106,1711500,3.0
106,2195464,3.0
106,983195,5.0
106,2457487,5.0
106,3591262,4.0
106,3217210,4.0
106,2767052,2.0
106,3254246,3.0
106,2267772,3.0
106,763679,3.0
108,1495254,5.0
108,2206448,4.0
108,843126,3.0
108,2852969,5.0
109,873537,4.0
109,862267,5.0
110,3217210,4.0
110,983195,4.0
110,2267772,2.0
110,2293666,4.0
110,862267,3.0
116,862267,3.0
116,3180338,5.0
116,3115956,5.0
116,618259,5.0
116,3217210,3.0
117,3188404,4.0
117,1406395,5.0
117,618259,5.0
122,680938,5.0
122,826300,4.0
122,1039461,5.0
125,1711500,4.0
125,2457487,4.0
125,2798062,2.0
125,3254246,3.0
125,753345,2.0
125,3115956,5.0
126,862267,4.0
127,1238684,5.0
127,4601396,3.0
127,923693,3.0
127,690289,4.0
127,3217210,4.0
127,862267,4.0
127,2475185,4.0
127,618259,4.0
127,2767052,4.0
127,4054590,4.0
127,995103,4.0
128,2293666,4.0
128,3180338,4.0
128,3217210,4.0
132,2852969,5.0
132,1187138,4.0
132,1179967,5.0
132,1154167,5.0
136,3074284,3.0
136,935308,3.0
136,2767052,4.0
136,1711500,5.0
139,2157743,5.0
139,1090378,3.0
139,2548559,4.0
139,3217210,3.0
139,862267,5.0
139,2832909,5.0
139,712313,4.0
139,4020390,5.0
139,3407877,5.0
139,2830855,5.0
139,3362016,4.0
139,4633087,5.0
139,1039461,3.0
139,1983168,5.0
140,2004362,4.0
140,826338,4.0
140,603204,5.0
140,2302797,5.0
141,4633087,4.0
141,3228917,5.0
141,618259,3.0
141,3217210,3.0
141,2266021,4.0
141,1495254,4.0
141,1711500,4.0
141,3358608,4.0
141,678974,4.0
141,1096390,4.0
141,4078927,4.0
141,1954203,3.0
141,614959,2.0
141,3115956,3.0
141,955975,4.0
141,2852969,5.0
141,862267,5.0
141,2451840,3.0
141,2157743,4.0
143,3217210,4.0
143,2819368,5.0
143,2293666,2.0
143,1833801,5.0
143,618259,4.0
143,3074284,2.0
