movieId,imdbId,tmdbId
5,113041,11862.0
6,113277,949.0
11,112346,9087.0
12,112896,12110.0
13,112453,21032.0
14,113987,10858.0
15,112760,1408.0
16,112641,524.0
17,114388,4584.0
18,113101,5.0
20,113845,11517.0
21,113161,8012.0
22,112722,1710.0
24,114168,12665.0
25,113627,451.0
27,114011,9263.0
28,114117,17015.0
33,114952,78802.0
35,112637,47018.0
38,113442,33689.0
58,110877,11010.0
59,112714,99040.0
62,113862,2054.0
63,116126,10607.0
65,115683,9536.0
66,116839,11525.0
67,114753,40628.0
68,113149,4482.0
69,113118,10634.0
70,116367,755.0
71,113010,11859.0
73,113828,48750.0
74,115644,20927.0
75,115676,36929.0
76,114367,9102.0
77,113973,124626.0
78,112744,27526.0
80,112445,46785.0
82,112379,880.0
83,114039,146599.0
85,112365,8447.0
87,116151,17414.0
88,115697,13997.0
89,113972,2086.0
90,113490,61548.0
92,117002,9095.0
93,114825,12158.0
95,115759,9208.0
96,113403,40154.0
97,113247,406.0
98,111173,45549.0
100,115907,11062.0
103,118040,2045.0
105,112579,688.0
106,110251,11907.0
107,117110,10874.0
111,75314,103.0
114,113774,71754.0
115,112556,43612.0
116,112373,51352.0
117,115033,16934.0
118,116606,10324.0
120,117427,55731.0
121,106473,32119.0
122,103859,11066.0
123,109424,11104.0
132,113451,11863.0
133,114015,55475.0
134,114500,124636.0
135,116130,9101.0
136,113125,123360.0
137,113756,5757.0
138,113952,39428.0
141,115685,11000.0
142,94878,
143,113200,249882.0
148,112427,22279.0
150,112384,568.0
152,112288,34996.0
153,112462,414.0
154,61395,649.0
155,112495,1873.0
157,109370,1775.0
161,112740,8963.0
162,109508,26564.0
163,112851,8068.0
164,112857,8512.0
165,112864,1572.0
167,113044,259209.0
168,113071,6520.0
169,113114,9073.0
170,113243,10428.0
172,113481,9886.0
173,113492,9482.0
174,113500,19326.0
176,113677,9071.0
177,113690,8973.0
178,107447,15730.0
179,113729,47608.0
180,113749,2293.0
182,113851,68274.0
183,110604,48787.0
184,110620,34574.0
185,113957,1642.0
186,113986,11472.0
187,114095,36196.0
189,114241,58372.0
192,114435,56088.0
193,114436,10802.0
195,114496,18402.0
196,114508,9348.0
197,114534,139408.0
198,114558,281.0
199,58450,5967.0
200,114666,79593.0
201,114663,47939.0
203,114682,9090.0
205,114798,52856.0
206,114805,77350.0
207,114887,9560.0
212,112602,26258.0
213,111579,50797.0
