userId,movieId,rating
21,1645,5.0
21,2006,4.0
21,2087,5.0
21,2687,5.0
21,4643,4.5
21,31696,4.5
21,33166,3.5
337,111,5.0
337,148,4.0
337,150,3.0
337,162,5.0
337,233,5.0
337,260,5.0
337,296,5.0
337,299,5.0
337,308,5.0
337,527,5.0
337,599,4.0
337,608,5.0
337,621,5.0
337,668,5.0
337,750,4.0
337,858,5.0
337,911,5.0
337,912,5.0
337,920,4.0
337,923,3.0
337,924,3.0
337,1251,5.0
337,1265,3.0
337,1267,5.0
337,1945,5.0
337,2028,4.0
337,2112,4.0
337,2186,4.0
337,2312,3.0
337,2324,3.0
337,2791,5.0
337,3052,5.0
337,3089,4.0
337,3093,4.0
642,585,0.5
930,6,4.5
930,16,3.5
930,70,3.0
930,95,2.5
930,150,3.5
930,153,3.0
930,161,3.5
930,165,3.0
930,172,3.0
930,185,2.5
930,260,4.5
930,288,1.5
930,293,5.0
930,296,5.0
930,318,4.0
930,329,5.0
930,364,5.0
930,377,3.0
930,380,3.0
930,471,4.0
930,500,3.0
930,541,5.0
930,586,2.5
930,588,3.5
930,590,3.0
930,595,3.5
930,745,4.5
930,786,3.5
930,924,3.5
930,1073,3.0
930,1089,4.0
930,1246,4.0
930,1249,4.0
930,1250,4.5
930,1262,4.0
930,1265,3.5
930,1266,4.0
930,1282,4.5
930,1367,2.0
930,1370,3.5
930,1371,3.0
930,1372,4.5
930,1373,3.5
930,1374,4.5
930,1375,4.0
930,1376,5.0
930,1387,2.5
930,1479,4.0
930,1485,3.0
930,1544,3.0
930,1552,3.0
930,1562,2.5
930,1573,3.0
930,1580,3.0
930,1588,1.0
930,1590,3.5
930,1608,2.5
930,1610,3.0
930,1619,3.5
930,1676,2.5
930,1690,4.0
930,1702,2.0
930,1722,3.0
930,1726,4.0
930,1729,4.0
930,1732,4.0
930,1831,3.5
930,1882,2.0
930,1909,3.0
930,1911,1.5
930,1921,3.5
930,1923,3.0
930,1954,0.5
930,1967,3.5
930,1968,4.0
930,2001,3.0
930,2003,3.5
930,2006,3.0
930,2019,3.5
930,2021,3.5
930,2028,3.0
930,2046,3.5
930,2054,2.0
930,2085,2.0
930,2094,2.5
930,2115,4.0
930,2161,4.0
930,2291,3.0
930,2297,5.0
930,2355,3.0
930,2502,4.0
930,2605,3.0
930,2617,3.0
930,2701,3.0
930,2762,3.0
930,2959,4.5
930,2989,3.5
930,3033,3.5
930,3052,4.5
930,3082,3.0
930,3114,3.0
930,3175,3.5
930,3489,3.5
930,3527,2.0
930,3593,1.0
930,4226,4.5
930,4643,4.0
930,4816,2.0
930,4886,4.0
930,4993,5.0
930,4995,4.0
930,5481,1.0
930,5956,2.0
930,5971,4.0
930,6003,3.5
930,6283,3.5
930,6373,3.0
930,7090,5.0
930,7454,1.0
930,8368,2.0
930,8665,4.0
930,8810,0.5
930,8961,4.5
930,8970,5.0
930,8984,3.0
930,8985,2.0
930,27317,3.0
930,30707,1.0
930,30793,3.0
930,30810,2.0
930,31658,4.5
930,31687,3.5
930,31696,3.0
930,32029,3.5
930,32596,4.0
930,33166,3.0
930,36519,2.5
930,36529,4.0
930,37380,2.5
930,38061,3.5
930,40629,4.0
930,41566,3.5
930,41569,1.5
930,43396,4.5
930,44022,3.5
930,44191,3.5
930,45186,2.5
930,45431,0.5
930,46976,4.5
930,47200,4.0
930,48385,3.5
930,48780,4.0
930,49530,4.0
930,50794,3.0
930,51091,3.0
930,51935,3.5
930,53000,3.0
930,53519,4.0
930,54505,3.0
930,56156,3.5
930,56171,3.0
930,57353,4.0
930,58293,2.0
930,58306,4.0
930,68954,4.0
930,69526,3.5
930,71910,3.0
930,72308,2.5
930,77866,3.5
930,80219,3.5
930,81229,4.0
930,83613,3.0
930,84152,4.0
930,84601,4.0
930,85414,3.5
930,85510,2.5
930,86190,3.0
930,86332,2.0
930,86835,3.0
930,88744,3.5
930,89904,3.0
930,90888,2.0
930,92681,4.0
930,94478,4.0
930,96105,1.0
930,97938,4.5
930,105593,3.5
930,111759,4.0
930,114184,4.0
930,115210,4.5
930,127323,2.0
930,130450,2.0
1052,150,4.0
1052,260,4.5
1052,296,5.0
1052,318,5.0
1052,590,5.0
1052,592,3.5
1052,1552,4.5
1052,1831,4.0
1052,31685,4.0
1217,585,4.5
1217,652,4.0
1217,889,2.0
1217,899,3.5
1217,924,3.0
1217,965,4.5
1217,1164,3.0
1217,1271,3.0
1217,1371,4.0
1217,1609,3.5
1217,1994,2.5
